id,alter,indonesia,arabic
102, At-Takasur ,Bermegah-megahan,ٱلتَّكَاثُر
103, Al-'Asr ,Masa,ٱلْعَصْر
104, Al-Humazah ,Pengumpat,ٱلْهُمَزَة
105, Al-Fil ,Gajah,ٱلْفِيل
106, Quraisy ,Suku Quraisy,قُرَيْش
107, Al-Ma'un ,Barang-barang yang Berguna,ٱلْمَاعُون
108, Al-Kausar ,Nikmat yang Berlimpah,ٱلْكَوْثَر
109, Al-Kafirun ,Orang-orang Kafir,ٱلْكَافِرُون
110, An-Nasr ,Pertolongan,ٱلنَّصْر
111, Al-Lahab ,Gejolak Api,ٱلْمَسَد
112, Al-Ikhlas ,Ikhlas,ٱلْإِخْلَاص
113, Al-Falaq ,Waktu Subuh,ٱلْفَلَق
114, An-Nas ,Umat Manusia,ٱلنَّاس
